Market Title,Outcome,Condition ID,Realized PnL,Avg Price,Total Bought,Current Price,Trades,Timestamp,Event Slug,End Date
Will the highest temperature in Hong Kong be 26°C on May 2?,Yes,0x74c4b590332760cb9c624ee0698166ba10e334b08800d082d157a34ff6c494c4,269.541016,0.153948,669.91,0.0015,14,2026-05-02 11:02:54,highest-temperature-in-hong-kong-on-may-2-2026,2026-05-02T00:00:00Z
Will the highest temperature in Hong Kong be 26°C on May 1?,No,0x9a2bf1eca31a1465bdae3cefaa2b5d090a8c0e1d16ccfd7fd935114ed93e24e0,25,0.63,100,0.0015,11,2026-05-01 08:30:18,highest-temperature-in-hong-kong-on-may-1-2026,2026-05-01T00:00:00Z
Will Hong Kong have 190mm or more of precipitation in April?,Yes,0xb115de5476741ec60696e6f08ed2ca791f3156b324bebe191f71e1198d38199b,-0.172897,0.007872,591.19,0.0055,2,2026-04-30 16:52:22,precipitation-in-hong-kong-in-april,2026-04-30T00:00:00Z
Will the highest temperature in Hong Kong be 24°C on April 30?,Yes,0x57d0173a88498e1942c010d152b38dfe249df715ba7d90cb26ad9bb69c2cba6d,-13.32947,0.188977,257.44,0.001,6,2026-04-30 09:23:48,highest-temperature-in-hong-kong-on-april-30-2026,2026-04-30T00:00:00Z
Will Hong Kong have between 160-170mm of precipitation in April?,Yes,0x9c20fdbe2e58d1e4e898123e9befe496d5bbe077530e05c6a4f6c8edba460538,158.652343311785,0.286317,225.46,0.988,3,2026-04-30 08:14:30,precipitation-in-hong-kong-in-april,2026-04-30T00:00:00Z
Will Hong Kong have between 150-160mm of precipitation in April?,No,0xbdd75145c5810f9c65f9d93d0649780cbb87ea70064d6985d3b743bbd0e67b23,1222.654685,0.446948,2230.91,0.994,10,2026-04-30 05:58:32,precipitation-in-hong-kong-in-april,2026-04-30T00:00:00Z
Will the lowest temperature in Hong Kong be 19°C on April 30?,Yes,0xf7e52e4bb1ed3735def07e8f986c793c88fc8b8770865a1d78fee084ca33e896,0,0.01,58.13,0.003,2,2026-04-30 03:03:14,lowest-temperature-in-hong-kong-on-april-30-2026,2026-04-30T00:00:00Z
Will Hong Kong have between 140-150mm of precipitation in April?,No,0x07d7eaa9e0abcb9e0ee1997bf5aeacd3f6a5482a5299ee09d5679b6584c94ede,25.889891,0.867329,201.21,0.9995,3,2026-04-29 22:48:40,precipitation-in-hong-kong-in-april,2026-04-30T00:00:00Z
Will the highest temperature in Hong Kong be 27°C on April 29?,No,0x1f590fb7b9d6fd3f4bcfe76a0997bda25bd9553670b5f72a650d68c05eea4cd9,392.3034506282239,0.845029,2492.644544,1,25,2026-04-29 10:16:52,highest-temperature-in-hong-kong-on-april-29-2026,2026-04-29T00:00:00Z
Will the highest temperature in Hong Kong be 28°C on April 29?,Yes,0x6d16672bd534207ba70a953ffec47eedf3a5d3e19e4d8582075f8ac7013da3a8,62.13113695,0.317633,143.7,1,2,2026-04-29 10:01:10,highest-temperature-in-hong-kong-on-april-29-2026,2026-04-29T00:00:00Z
