Market Title,Outcome,Condition ID,Realized PnL,Avg Price,Total Bought,Current Price,Trades,Timestamp,Event Slug,End Date
"Bitcoin Up or Down - April 30, 3:10PM-3:15PM ET",Up,0xf29aad0160ebe183c518117cfb20f76f2239e2496f1847a123842873aca3fb44,18.24269466096,0.45106,33.232584,1,14,2026-04-30 22:15:04,btc-updown-5m-1777576200,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 2:45PM-2:50PM ET",Up,0xc81acdbe080d85ee2064ae66230a09d162e82602cf78fc6c055907f4973f4814,17.11591199374,0.299843,24.44582,1,11,2026-04-30 21:49:14,btc-updown-5m-1777574700,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 4:45PM-4:50PM ET",Up,0x9a43b8636ebc95679536c7efb2f93ffe87056d332cf0dd0bfd4d54505add3195,12.4027864233,0.527021,26.2227,1,18,2026-04-30 23:47:18,btc-updown-5m-1777581900,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 4:05PM-4:10PM ET",Up,0x6d639cf0d97aa9408c0692c354366928134b24e7ba05f9f71fb76ea19d041a6e,12.076125817548,0.552172,26.965991,1,18,2026-04-30 23:05:18,btc-updown-5m-1777579500,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 4:00PM-4:15PM ET",Up,0x576fde12bd8d97b2018c71fa742cdb746886cbad34e081f11a075bc4d169d91d,11.077686289177,0.432717,19.527619,1,18,2026-04-30 23:00:42,btc-updown-15m-1777579200,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:55PM-4:00PM ET",Up,0xb396ed903addcac4ed0ef6d5509f475d4442cd74ea11fc68c461ba0edd27156d,10.009831824016,0.294576,14.189809,1,18,2026-04-30 22:55:40,btc-updown-5m-1777578900,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:25PM-3:30PM ET",Down,0x2c0567beb0bd8605203bd8cf1bf528402e0e93d4da2cd2ca2c3b54c6b6ca77be,9.916936509171002,0.583791,23.826819,1,18,2026-04-30 22:26:12,btc-updown-5m-1777577100,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 2:50PM-2:55PM ET",Down,0x6fe03c3c781f62d456518a3a6b2b95c0d0bee427243bcef06f5b37b3f1c395b7,9.015368967165,0.412501,15.345335,1,18,2026-04-30 21:51:44,btc-updown-5m-1777575000,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:35PM-3:40PM ET",Up,0xbea81e79848840c0981903e92998da0001c32cba7261bda7159b14bcdb000f92,8.889018275513001,0.609941,22.788907,1,18,2026-04-30 22:36:48,btc-updown-5m-1777577700,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 6:15PM-6:20PM ET",Up,0x6bd136a448af1d9de73769ca82fe2cf591c68479c831c8c5a206169722b343ce,8.806551252595,0.492315,17.346487,1,12,2026-05-01 01:20:10,btc-updown-5m-1777587300,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 4:30PM-4:35PM ET",Up,0x928a2e99797ea6cc6a40cc22805547ec8290f63425fb661fc8406fd6bbf703b2,8.744470393356,0.421066,15.104434,1,18,2026-04-30 23:30:26,btc-updown-5m-1777581000,2026-04-30T00:00:00Z
"Ethereum Up or Down - April 30, 2:30PM-2:35PM ET",Up,0x3fc39fe2ba26bb468ef7fc9a5b88b51debd963478a5a23625fa5b6032c6416d6,8.7190036469,0.49305,17.198942,1,9,2026-04-30 21:30:40,eth-updown-5m-1777573800,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 5:05PM-5:10PM ET",Down,0x150851b6149c4c94d8415d493bc6c81cfe0906c2483f4dcf0399b1a1bfa09739,8.597810349589999,0.463233,16.01777,1,18,2026-05-01 00:07:48,btc-updown-5m-1777583100,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:45PM-3:50PM ET",Up,0x883e3ce7e7f232ca22344f30e9899cf5fab7e446cfdd1cb7d0855816b384a310,8.559755786192,0.466832,16.054519,1,19,2026-04-30 22:48:32,btc-updown-5m-1777578300,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 6:25PM-6:30PM ET",Up,0x7058768cd93d80a81f22108b3f98898ec9faebe37ead3d7694c5ed9612d47b72,8.550057888458001,0.600837,21.419966,1,14,2026-05-01 01:26:40,btc-updown-5m-1777587900,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 7:05PM-7:10PM ET",Down,0x86bd38cea3b434f48e5ab0926a5b62de6b43c9e2f8a604ad728b9db89dfd8700,8.36538747625,0.19913,10.445375,1,11,2026-05-01 02:08:04,btc-updown-5m-1777590300,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 4:55PM-5:00PM ET",Down,0x5fef57ecf727c9d985354d20d72930ac80c53407f087e0d2d6b2f764f15592a5,8.34049315523,0.606402,21.190385,1,18,2026-04-30 23:58:00,btc-updown-5m-1777582500,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 7:20PM-7:25PM ET",Up,0xe96e7126f62d8cf2bc52b9b45c6d73742ea7144e64ab63672a554458a1516c2e,8.196710728869,0.646489,23.186579,1,14,2026-05-01 02:24:42,btc-updown-5m-1777591200,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:15PM-3:20PM ET",Down,0x0b7e51b0ebd327708b1d5247f55713a50c428162f8e661f21f9b6752077cc585,8.153524361475998,0.589727,19.873412,1,18,2026-04-30 22:16:40,btc-updown-5m-1777576500,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 2:40PM-2:45PM ET",Up,0x19f10ad4568a37d189084f6acfb074ec7b8c562dedf52a782223e38b3ccbcfc4,8.144428689151999,0.540236,17.714368,1,18,2026-04-30 21:42:14,btc-updown-5m-1777574400,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 6:45PM-7:00PM ET",Down,0x6312e68c970736ce2afbeb3f71913c7d771e660fa198471b4dce36305975a45b,8.077359877028,0.440909,14.447308,1,18,2026-05-01 01:56:08,btc-updown-15m-1777589100,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 4:45PM-5:00PM ET",Down,0xe99078e4d21679499405c9ce11962f11a765228dbdc80deba7aaefa256c5f211,7.9247109673709994,0.444841,14.274669,1,18,2026-04-30 23:53:22,btc-updown-15m-1777581900,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:15PM-3:30PM ET",Up,0xed8539d4502bf847cf5c513994387504934636377c9522da2a46475bf5e56b22,7.722975061516,0.451218,14.072938,1,18,2026-04-30 22:17:40,btc-updown-15m-1777576500,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 5:35PM-5:40PM ET",Up,0xb84ec8502c24883de8e499beecfca2b14df6425c7ab7ab5710a32d1e3397325b,7.447640467368,0.667924,22.427518,1,16,2026-05-01 00:36:40,btc-updown-5m-1777584900,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 7:15PM-7:30PM ET",Up,0x2d0d6551c842c848973bd74d6a6e7cf1767fbeeea8fdaeb0541f74473ddbf683,7.402363139876,0.590403,18.072308,1,11,2026-05-01 02:28:24,btc-updown-15m-1777590900,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:30PM-3:35PM ET",Up,0xadcb2c9885429f1e584798fb7e1f7ccb907f949a88cec6ad14538ab2b3ebe429,7.076563854209999,0.624715,18.856506,1,18,2026-04-30 22:32:08,btc-updown-5m-1777577400,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Down,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,6.943216549741999,0.667679,20.893102,1,14,2026-05-01 02:40:46,btc-updown-5m-1777592400,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 7:30PM-7:35PM ET",Down,0xfed77752f17973b85926e06c9276c65605920b3f49e8ed37e75655c6b1ba9536,6.9213032676760005,0.518393,14.371268,1,16,2026-05-01 02:31:50,btc-updown-5m-1777591800,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 2:30PM-2:45PM ET",Up,0x9ebeea9e5097d032429f884eaf401df1fcf7c874cf4bc989ad8e6116e99cae84,6.913088100240001,0.62998,18.683012,1,15,2026-04-30 21:40:12,btc-updown-15m-1777573800,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 4:15PM-4:20PM ET",Down,0x9c6085e7c8197dc3311406368403ad5e1b3d948624e89e173f1923b958c04533,6.898659026116,0.684828,21.888553,1,18,2026-04-30 23:16:56,btc-updown-5m-1777580100,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 6:10PM-6:15PM ET",Up,0xa991f0e35da582e1b9d2aae7d36880d0d1faa9b4edb572b1e1da69bd4f002497,6.781863716991001,0.557371,15.321779,1,18,2026-05-01 01:14:52,btc-updown-5m-1777587000,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:45PM-4:00PM ET",Down,0x3a6d1286e12753dfcfa4cf8dec30ec9e7fba1ebd62968869c50859a88bd0f5b6,6.500334440988,0.494542,12.860286,1,18,2026-04-30 22:45:30,btc-updown-15m-1777578300,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 6:50PM-6:55PM ET",Down,0x4647207a5e8f39512873a1fb91008b9204bc729845c2cf2345e1e06d5210cae8,6.441743667221999,0.244081,8.521738,1,7,2026-05-01 01:50:56,btc-updown-5m-1777589400,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:00PM-3:15PM ET",Up,0x3d0b13a6eda193f8f0104be54d8beb8e164b1084a4dc5d27c9a13d3d2dd1e9ce,6.422742957369,0.498721,12.812711,1,18,2026-04-30 22:07:06,btc-updown-15m-1777575600,2026-04-30T00:00:00Z
"Ethereum Up or Down - April 30, 4:30PM-4:35PM ET",Down,0xa31c364fe73894c79605f3f260fc975c8df668f63550387e7bb49e31d32ec678,6.378028441848,0.652574,18.357948,1,12,2026-04-30 23:30:30,eth-updown-5m-1777581000,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 2:30PM-2:35PM ET",Down,0x5afa6707d261aa5ec704292403715158e348af8180ff06f3ddd575f158eefb0a,6.276880004320001,0.503288,12.63686,1,9,2026-04-30 21:30:40,btc-updown-5m-1777573800,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 4:30PM-4:45PM ET",Up,0x283ab1b796e2a8bdfcf5c30c08e612af4f05ff644b15576c6cf9e19a30277e0a,6.233213820925999,0.461409,11.573186,1,18,2026-04-30 23:30:26,btc-updown-15m-1777581000,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 3:20PM-3:25PM ET",Up,0x864cf26ba565674c8c4b88a0e4f6a3a102343befb630241ac99d42629f1f2785,6.2288474495260004,0.459246,11.518819,1,18,2026-04-30 22:20:32,btc-updown-5m-1777576800,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 7:15PM-7:20PM ET",Up,0xa6b300ae9a8065197263be5eb7a4b9b7ae91aabac89b4b3b25e19a2ca56e47d7,6.186791485265999,0.507294,12.556761,1,7,2026-05-01 02:15:56,btc-updown-5m-1777590900,2026-04-30T00:00:00Z
