Market Title,Outcome,Condition ID,Realized PnL,Avg Price,Total Bought,Current Price,Trades,Timestamp,Event Slug,End Date
Will gas hit (High) $4.40 by May 31?,Yes,0x1a07b19884edcc61c7713ee41eb4ac25f3106944411bb8d25b104f04f8190884,122.99605272471308,0.973309,4608.147043,1,5,2026-05-02 11:17:02,will-gas-hit-by-end-of-may,2026-05-31T00:00:00Z
Games Total: O/U 2.5,Over,0xd36b779728285bb4d81352afe4d3cd70122f77cf854190a565acc4fbff093673,28.060878,0.507996,57.15,1,4,2026-05-02 11:16:32,mlbb-tlph-falcon-2026-05-02,2026-05-02T00:00:00Z
Will gas hit (High) $4.35 by May 31?,Yes,0x312f426987c2053602de0bc88930aa6acd9b6cf81f86e253c195773fb30d049a,101.62900166910003,0.975953,4226.2653,1,3,2026-05-01 10:57:26,will-gas-hit-by-end-of-may,2026-05-31T00:00:00Z
"Will Drake officially release Iceman by April 30, 2026?",No,0x1081498f18c528f543e0342046f5a0a638168b9a3cb9197d4529addb1e76f8e1,314.23368333024,0.833076,1910.04776,1,2,2026-05-01 10:44:42,will-drake-release-iceman-by,2026-04-30T00:00:00Z
Over $20M committed to the Printr public sale?,No,0xcacdc005e7d722cd3adc3ae690f368f26c50fae9b50c7427e48db7e61f84219e,659.121948642951,0.351073,1024.285713,0.971,4,2026-04-30 18:50:20,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
MegaETH market cap (FDV) >$1.5B one day after launch?,Yes,0x32ab21f24cc416e95ca901db3e60c45dbf62cde28ce472f9b660ca87f8bf7c67,75,0.55,1500,1,1,2026-04-30 18:36:32,megaeth-market-cap-fdv-one-day-after-launch,2025-12-31T00:00:00Z
Over $6M committed to the Printr public sale?,No,0xa1bb6c583e24ea1872e041c746da54c249548e136681cc19968b51a3b4a0f3aa,1151.603763,0.079811,1256.95,0.973,3,2026-04-30 18:24:22,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
Over $30M committed to the Printr public sale?,No,0x26baf6b25267437104fc84c01a1356eee49e447c1ab1c6e20860554d5c116ffe,414.44300999999996,0.56,951.77,0.955,5,2026-04-30 18:22:32,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
Over $8M committed to the Printr public sale?,No,0xf03529a209d7dc8d9bf461a1960804d793d4a6262b94a20c36e3199bef042767,663.7104352307009,0.158011,791.083709,0.9715,2,2026-04-30 18:06:02,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
Over $10M committed to the Printr public sale?,No,0x561e400fc730dd5d6d580c04e7ce626caab7277fb3cec60f78879e2228b6da9b,74.858969,0.211914,95.23,0.9585,3,2026-04-30 18:05:50,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
Over $4M committed to the Printr public sale?,No,0x13c0edf4f2f2f0957f196f1e51f8e64520ea193f5003714d423c7d386d078c2a,142.940211433312,0.033596,148.823528,0.945,2,2026-04-30 18:04:12,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
Over $3M committed to the Printr public sale?,No,0x3e0dc6c075e14c66526923f2139b1d5c54fafd43b51e0abe5075739e6ac1cf3b,1238.85699783602,0.182505,1534.197996,0.9635,2,2026-04-30 16:49:34,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
Over $15M committed to the Printr public sale?,No,0xd9c3cba9982e6d16440808b0aebcf8ab3d0e67ad58d0e8acad2d1d1801f9a252,815.197812,0.28,1139.27,0.978,2,2026-04-30 10:22:10,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
Over $40M committed to the Printr public sale?,No,0x68c52c3ca0a5111ead1947cb69dab74da6395a3c810020174637fabe5820df18,100.79937,0.64,315,0.9845,2,2026-04-30 09:16:30,printr-public-sale-total-commitments,2026-06-01T00:00:00Z
Clavicular pregnancy in 2026?,No,0x6747bae2269c348786d0c0c0f4286ac006f13f16325d4dcbab954b46de029f19,61.249006456082,0.029213,1045.043286,0,3,2026-04-29 09:45:20,clavicular-pregnancy-in-2026,2026-12-31T00:00:00Z
Counter-Strike: STATE vs Brute (BO3) - CCT Europe Series #1 Play-In Group A,STATE,0xe52a5dbf94f8816639e8dbde718254ec4aa76e4d9b62dd0aa8a342001033eca5,25.87234221,0.836551,158.29,1,6,2026-04-28 12:35:04,cs2-sta6-brute-2026-04-28,2026-04-28T00:00:00Z
Map Handicap: BIG (-1.5) vs Nemiga (+1.5),Nemiga,0x0e6b44be05782a7becb3575f0151225db5f5df25c5836dd7d0c7546b172db82c,170,0.66,500,1,1,2026-04-28 10:53:52,cs2-big5-nemi1-2026-04-27,2026-04-27T00:00:00Z
Counter-Strike: BIG vs Nemiga (BO3) - NODWIN Clutch Series Playoffs,Nemiga,0x71945d26cf77fc5378789cef2425f146a9dd0892eba975fcd60d81ced0fad78f,19.8,0.34,30,1,1,2026-04-28 10:53:08,cs2-big5-nemi1-2026-04-27,2026-04-27T00:00:00Z
Dota 2: Aurora vs Team Falcons (BO3) - PGL Wallachia Playoffs,Aurora,0x86cc09f9e1fd26b2a9e941261d3c129467ec793d72d1d510068b45ecdb7cc539,25.347,0.58,60.35,1,0,2026-04-27 11:25:56,dota2-aur1-flc-2026-04-26,2026-04-26T00:00:00Z
Mobile Legends Bang Bang: Team Falcons PH vs ONIC PH (BO3) - MPL Philippines Regular Season,Team Falcons PH,0xcccb3256ebcd94c45a327ce0da361595b46d1f4c2cedf6d85c3fff954a0b2bf8,2.184,0.58,5.2,1,0,2026-04-27 11:25:16,mlbb-falcon-onic1-2026-04-26,2026-04-26T00:00:00Z
