Market Title,Outcome,Condition ID,Realized PnL,Avg Price,Total Bought,Current Price,Trades,Timestamp,Event Slug,End Date
"XRP Up or Down - May 4, 9:55AM-10:00AM ET",Down,0x031435fd46aeba1169c6bd3ed38f10c37b5dd6abd624a291c1ebba948444838b,10.56,0.8,52.8,1,0,2026-05-04 17:04:24,xrp-updown-5m-1777902900,2026-05-04T00:00:00Z
"Ethereum Up or Down - May 4, 7:00AM-7:05AM ET",Down,0x4e748d216f1ae45f9aa116191618931c4f80b1b85844e2fc5c7805d54fb5020a,9,0.99,900,1,1,2026-05-04 14:09:24,eth-updown-5m-1777892400,2026-05-04T00:00:00Z
"Solana Up or Down - May 4, 2:50AM-2:55AM ET",Down,0x002a23329671db8f9c322f2060f779702b785c7bb14a1d8a0af870659cbd5f6d,9,0.99,900,1,0,2026-05-04 09:59:24,sol-updown-5m-1777877400,2026-05-04T00:00:00Z
"Dogecoin Up or Down - May 3, 10:15PM-10:20PM ET",Down,0xd0a39d1a10a29377e87750574201dd170f559fd7b3ad804c3f859ba586b84d52,15.400362,0.915799,182.9,1,1,2026-05-04 05:24:32,doge-updown-5m-1777860900,2026-05-04T00:00:00Z
"Ethereum Up or Down - May 3, 10:10PM-10:15PM ET",Down,0x77386b455a4c1334bc2007d817dd510a400115ea9f0e779c0bb7011400d3a05e,0.05,0.99,5,1,0,2026-05-04 05:19:24,eth-updown-5m-1777860600,2026-05-04T00:00:00Z
"Bitcoin Up or Down - May 3, 5:30PM-5:35PM ET",Down,0xbde65e198495a55aae2a483fe0fda916661d6736b5a9e859f1d358e195b97b2d,9,0.99,900,1,1,2026-05-04 00:39:24,btc-updown-5m-1777843800,2026-05-03T00:00:00Z
"BNB Up or Down - May 3, 5:25PM-5:30PM ET",Down,0xe303c6436c8fc2e3f55352a74bd655347d557213a3a7ad3630d1b3ef6164d56b,0.9778,0.98,48.89,1,1,2026-05-04 00:34:24,bnb-updown-5m-1777843500,2026-05-03T00:00:00Z
"BNB Up or Down - May 3, 4:10PM-4:15PM ET",Down,0xc91bbc229630ca79f53aa30a446f11230bdd01f854a6dc5d407f4981ffaa23b4,1.8,0.98,90,1,1,2026-05-03 23:19:24,bnb-updown-5m-1777839000,2026-05-03T00:00:00Z
"Solana Up or Down - May 3, 4:00PM-4:05PM ET",Down,0x95d0701f156b92c4ad24de89cb47027c22a60805f94c32f486e3921c6d43530b,11.4174,0.987314,900,1,1,2026-05-03 23:09:24,sol-updown-5m-1777838400,2026-05-03T00:00:00Z
"Bitcoin Up or Down - May 3, 3:05PM-3:10PM ET",Down,0x06adad326ae2b824b3a1779af4e9657424a078c4de891d16ad32136274819709,1.7702,0.99,177.02,1,1,2026-05-03 22:14:24,btc-updown-5m-1777835100,2026-05-03T00:00:00Z
"Ethereum Up or Down - May 3, 1:40PM-1:45PM ET",Down,0xece9f124c7f69a46815a4ef4c2d45061f2b9a649005d9c60fe7effc59b92ecb9,2,0.99,200,1,0,2026-05-03 20:49:24,eth-updown-5m-1777830000,2026-05-03T00:00:00Z
"Solana Up or Down - May 2, 10:25PM-10:30PM ET",Down,0x5bd055310e19ab43b317e61d46463cefd893e03b2922e8e5bb3e15977bfd6859,8.91,0.8,44.55,1,0,2026-05-03 05:34:24,sol-updown-5m-1777775100,2026-05-03T00:00:00Z
"Bitcoin Up or Down - May 2, 7:55PM-8:00PM ET",Down,0xbf6f85e0332ba796341fcb7d8ff192f1e0d72b9d2b786b3f728a4630c6fbbdff,15.56,0.8,77.8,1,0,2026-05-03 03:04:24,btc-updown-5m-1777766100,2026-05-03T00:00:00Z
"Ethereum Up or Down - May 2, 5:20PM-5:25PM ET",Down,0xc8fdad7103f196a4f1886b7a463ff957a81120f3e7272848f1af5e786c685734,1,0.8,5,1,0,2026-05-03 00:29:24,eth-updown-5m-1777756800,2026-05-02T00:00:00Z
"Bitcoin Up or Down - May 2, 3:20PM-3:25PM ET",Down,0x25f7aa88283e16b5fbfe8d3c057adaa1454cde4be08556cca5b609f190080a47,191.135,0.72695,700,1,1,2026-05-02 22:29:24,btc-updown-5m-1777749600,2026-05-02T00:00:00Z
"Bitcoin Up or Down - May 2, 11:35AM-11:40AM ET",Down,0x114f2f47ec9bdcd741efba46d23a5cb53bed9707228c6314df8b98f6a92a9edf,4.9857,0.99,498.57,1,0,2026-05-02 18:44:24,btc-updown-5m-1777736100,2026-05-02T00:00:00Z
"Ethereum Up or Down - May 2, 10:15AM-10:20AM ET",Down,0x8981c561793af560005e4dde26efe918417129543ca236066fb33db997dfff6c,5.8895,0.99,588.95,1,0,2026-05-02 17:24:24,eth-updown-5m-1777731300,2026-05-02T00:00:00Z
"Ethereum Up or Down - May 2, 9:20AM-9:25AM ET",Down,0x4c4bdc73ec6dc6ebad30874cfa492b9b4d7ca62e25df74a8df67a71dd168367b,0.1824,0.99,18.24,1,0,2026-05-02 16:29:24,eth-updown-5m-1777728000,2026-05-02T00:00:00Z
