Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Up,BUY,3.85185,0.2699998701922453,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,2026-05-01 02:40:58,0xc94965529dd964787d7f18337c06457609cbf7455d895d2d71b6e84d10fb8f18,btc-updown-5m-1777592400
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Down,BUY,1.42105,0.76,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,2026-05-01 02:40:46,0x0ba57308e7317358cfbdd77c324c67091fbd1134939f17d1a2d1759c0a32493d,btc-updown-5m-1777592400
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Down,BUY,1.384613,0.7799998988887148,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,2026-05-01 02:40:46,0xde3b9bf24cf805d3b86304d206e9b50a4189adccace00af960ef24e7019da8f7,btc-updown-5m-1777592400
"Bitcoin Up or Down - April 30, 7:30PM-7:45PM ET",Down,BUY,1.384613,0.7799998988887148,0xaa166babcc09cfda16394b4da4c8c360999a7f01a09fc0ec34e0eef466528653,2026-05-01 02:40:46,0x02603a2df862e8ce1a51072bc7dc6940e5367d1d99cf364770bb53337d4026dc,btc-updown-15m-1777591800
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Down,BUY,1.384613,0.7799998988887148,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,2026-05-01 02:40:44,0xcc745c2a9f479d923710323f2b908a7553fc1d8d7d340a7bceefce4e8f87cc9c,btc-updown-5m-1777592400
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Down,BUY,1.384613,0.7799998988887148,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,2026-05-01 02:40:44,0x2943d3e28bcb87a24d06b091fb06eace434a502c37b5159ce66440fdb09fcd6f,btc-updown-5m-1777592400
"Bitcoin Up or Down - April 30, 7:30PM-7:45PM ET",Down,BUY,1.384613,0.7799998988887148,0xaa166babcc09cfda16394b4da4c8c360999a7f01a09fc0ec34e0eef466528653,2026-05-01 02:40:44,0x43c83ca3075b557f6bd951a00408f150eeffecd3a75884ae9f75bc23c02a0701,btc-updown-15m-1777591800
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Down,BUY,1.402595,0.7699998930553723,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,2026-05-01 02:40:42,0xc8615ae064af62daf47ec0d63a304b8d05891e2a799e3d7e0b4cab78a982919e,btc-updown-5m-1777592400
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Down,BUY,1.671875,0.64,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,2026-05-01 02:40:28,0x1f41e891efa869844604368f28eeeb0ea45fdf2831bcdf61d3ac5af45616350e,btc-updown-5m-1777592400
"Bitcoin Up or Down - April 30, 7:40PM-7:45PM ET",Down,BUY,1.671875,0.64,0xefeaa19b4e4fcf4d470f0ea797f704c65cdde7f644104b3292d600efd1160bc4,2026-05-01 02:40:28,0x1383685fcc08a274bc7450204da4890d6406c18970ce3e26f5202b740ee09455,btc-updown-5m-1777592400
