Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Will ""The Devil Wears Prada 2"" Opening Weekend Box Office be between 70m and 80m?",Yes,BUY,2105.26314,0.95,0xa5b00fb91dd458cf79761b80e68eff24003f89ae59cb630f5ab90d809e4058b9,2026-05-03 12:27:04,0xfebe30f5df7a77efd726ff4690bc3f81f51005c17f3a452ad247d342f0f827e6,the-devil-wears-prada-2-opening-weekend-box-office
"Will ""The Devil Wears Prada 2"" Opening Weekend Box Office be between 70m and 80m?",Yes,BUY,12,0.949,0xa5b00fb91dd458cf79761b80e68eff24003f89ae59cb630f5ab90d809e4058b9,2026-05-03 12:26:08,0xc01392d7a9ac056683b942b65bd687e37ccd8a57d7f399a225cc2633f7a012dd,the-devil-wears-prada-2-opening-weekend-box-office
"Will ""The Super Mario Galaxy Movie"" 5th Weekend Box Office be less than 11.5m?",No,BUY,152.8,0.92,0xf0a92b47150ce5c2f1931a9d876a091108d9b82d1d7ddc51e9dba55bfe4f4045,2026-05-03 12:21:16,0x01f4a97c014d43c25890c38b09547aa4c931f6020a0c5712521fd2817dbce94e,the-super-mario-galaxy-movie-5th-weekend-box-office
"Will ""The Super Mario Galaxy Movie"" 5th Weekend Box Office be less than 11.5m?",No,BUY,8.89,0.91,0xf0a92b47150ce5c2f1931a9d876a091108d9b82d1d7ddc51e9dba55bfe4f4045,2026-05-03 12:20:58,0x0ac70368f086219d27f738ae3e796279790b03d3c12ba7666593b69fdeba4734,the-super-mario-galaxy-movie-5th-weekend-box-office
Will gas hit (High) $4.40 by May 31?,Yes,BUY,56.97,0.977,0x1a07b19884edcc61c7713ee41eb4ac25f3106944411bb8d25b104f04f8190884,2026-05-02 11:17:02,0x192ce4b81903232337a0a253de437b5268cd9c923e64d900440bd77ce94794b1,will-gas-hit-by-end-of-may
Games Total: O/U 2.5,Over,SELL,0.15,0.999,0xd36b779728285bb4d81352afe4d3cd70122f77cf854190a565acc4fbff093673,2026-05-02 11:16:32,0x9e7829b538e7c3b5ce87e72d26529e433d2cb9fdd68fb71df03caba427e5bee7,mlbb-tlph-falcon-2026-05-02
Games Total: O/U 2.5,Over,SELL,57,0.999,0xd36b779728285bb4d81352afe4d3cd70122f77cf854190a565acc4fbff093673,2026-05-02 11:16:22,0x5ce6e4665158c6fd7953d96dbc6d7a21910b24d8c6aed72d35785ec248a2e88d,mlbb-tlph-falcon-2026-05-02
Will gas hit (High) $4.40 by May 31?,Yes,BUY,51.177043,0.9769999997850599,0x1a07b19884edcc61c7713ee41eb4ac25f3106944411bb8d25b104f04f8190884,2026-05-02 11:13:48,0x5a067b6889f66a8310a34976e341c53bf86db84e83b87cd2f5996219f18ac9c1,will-gas-hit-by-end-of-may
Will gas hit (High) $4.40 by May 31?,Yes,BUY,10,0.99,0x1a07b19884edcc61c7713ee41eb4ac25f3106944411bb8d25b104f04f8190884,2026-05-02 10:18:34,0xca0c1bf3509f0f8d48c717cd31c7bbd2503e8d36e9a7707fa56ecdb345ef9aea,will-gas-hit-by-end-of-may
Will gas hit (High) $4.40 by May 31?,Yes,BUY,715,0.99,0x1a07b19884edcc61c7713ee41eb4ac25f3106944411bb8d25b104f04f8190884,2026-05-02 10:17:10,0x2abcd74d0b6511bd97e55a4bfc6b9f0b271f93a7a3908820672c8611b95cbd22,will-gas-hit-by-end-of-may
Will gas hit (High) $4.40 by May 31?,Yes,BUY,3775,0.97,0x1a07b19884edcc61c7713ee41eb4ac25f3106944411bb8d25b104f04f8190884,2026-05-02 10:15:50,0xc449ca9da138e8417c3da61e029ecad214c78bf148c77a38509ed554b73cb11b,will-gas-hit-by-end-of-may
Games Total: O/U 2.5,Over,BUY,20,0.52,0xd36b779728285bb4d81352afe4d3cd70122f77cf854190a565acc4fbff093673,2026-05-02 00:50:40,0xc0d9f2f1b72267157d90c422823adcf05f4afee9219a9692390abe4a4762a631,mlbb-tlph-falcon-2026-05-02
Games Total: O/U 2.5,Over,BUY,20,0.52,0xd36b779728285bb4d81352afe4d3cd70122f77cf854190a565acc4fbff093673,2026-05-02 00:19:02,0x4ab039839b3dda6dca938984fc108e773e7c7959190605dccc32ebb1ef6d687f,mlbb-tlph-falcon-2026-05-02
Will gas hit (High) $4.35 by May 31?,Yes,BUY,1356,0.99,0x312f426987c2053602de0bc88930aa6acd9b6cf81f86e253c195773fb30d049a,2026-05-01 10:57:26,0x3e4b22e296a61afa8cd18ef4caab6872f222cbd6669089794f5e842804188dca,will-gas-hit-by-end-of-may
Will gas hit (High) $4.35 by May 31?,Yes,BUY,64.22,0.9685985674244784,0x312f426987c2053602de0bc88930aa6acd9b6cf81f86e253c195773fb30d049a,2026-05-01 10:45:34,0x94e1a616b1105b369b109b6d6753db4a0fcbd66cc4f9b08044df66159e4efb79,will-gas-hit-by-end-of-may
"Will Drake officially release Iceman by April 30, 2026?",No,SELL,1571.79,0.999,0x1081498f18c528f543e0342046f5a0a638168b9a3cb9197d4529addb1e76f8e1,2026-05-01 10:44:42,0x69dbd7a58a0effbc28ddb1f96cff4f447b8e09a7618a5e062132dd8f798ea5c0,will-drake-release-iceman-by
Will gas hit (High) $4.35 by May 31?,Yes,BUY,2806.0453,0.9693357377373772,0x312f426987c2053602de0bc88930aa6acd9b6cf81f86e253c195773fb30d049a,2026-05-01 10:44:06,0x03fa086b69f05c8b34b349c3015b9d3f32a72123d8d0617480666c744e35aca3,will-gas-hit-by-end-of-may
Over $20M committed to the Printr public sale?,No,SELL,802.71,0.995,0xcacdc005e7d722cd3adc3ae690f368f26c50fae9b50c7427e48db7e61f84219e,2026-04-30 18:50:20,0xbad68dbec1835c53447d6ab572535dce37abaedbcf851f8ffffdea43ecf71609,printr-public-sale-total-commitments
MegaETH market cap (FDV) >$1.5B one day after launch?,Yes,SELL,1500,0.6,0x32ab21f24cc416e95ca901db3e60c45dbf62cde28ce472f9b660ca87f8bf7c67,2026-04-30 18:36:32,0xcaab1bdb63e0a0a18e7e52798fe1931c6c443de17702cb53694c656cf2830046,megaeth-market-cap-fdv-one-day-after-launch
Over $30M committed to the Printr public sale?,No,SELL,241.96,0.996,0x26baf6b25267437104fc84c01a1356eee49e447c1ab1c6e20860554d5c116ffe,2026-04-30 18:10:30,0x580bd3f88014f13ed579d72e0d542d919aa3065e47d380e670500941ab1b3b67,printr-public-sale-total-commitments
