Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Bitcoin Up or Down - May 4, 9:25AM-9:30AM ET",Down,BUY,7.49,0.4,0xbf9a1d7526e0b82905569fc5428b1543d53397954f5b971dcea1da43a1031e15,2026-05-04 16:30:00,0xc9cd1e4ff2ca2957ba678f411919d53c1fee942a62a86e27e7d735523314094e,btc-updown-5m-1777901100
"Bitcoin Up or Down - May 4, 9:25AM-9:30AM ET",Down,BUY,40.77,0.2261319597743439,0xbf9a1d7526e0b82905569fc5428b1543d53397954f5b971dcea1da43a1031e15,2026-05-04 16:30:00,0xa6dcd467b83d40bcc1639006960a39f5541779bd2ea241efa1f0204fafc6243c,btc-updown-5m-1777901100
"Bitcoin Up or Down - May 3, 4:20PM-4:25PM ET",Up,BUY,3.46,0.26,0xf5d51e6bc5d1fd83b5f48eaa3da83654028e6515bd29eae169bf923d20cad017,2026-05-03 23:24:58,0xd4301b663efc256f84024e933d9fe97f15f4c1590265340df43428ab49581236,btc-updown-5m-1777839600
"Bitcoin Up or Down - May 3, 8:20AM-8:25AM ET",Down,BUY,7.24,0.24,0xbedcdf1f358a39fbf20d8538175d0e2a840b449ef3dfac6e279033f19960bb4f,2026-05-03 15:25:00,0x501343ede3f5a9a8e8c22a9ae2706819b21e3ddc564809219bd4a4e64bc213a2,btc-updown-5m-1777810800
"Ethereum Up or Down - May 3, 3:55AM-4:00AM ET",Up,BUY,4.6,0.15,0x70a5361098af762a106a7bc9cb5a6b9c9fcdde61361fad8db0dd8f656347cbb4,2026-05-03 11:00:00,0x433c5d4f0fc7163193a84205c82a311192bce9b36829d86679d1f880b298bcd3,eth-updown-5m-1777794900
"Bitcoin Up or Down - May 2, 10:50AM-10:55AM ET",Up,BUY,41.66,0.4,0x49930501c5b91ffe8b6562db681b6edc351b10fdcb605b45eca55470dc03eb44,2026-05-02 17:55:16,0x575c51842c758f4b3fbe39176845dffd7e3720aa891b673a70893f825c3e52fb,btc-updown-5m-1777733400
"Bitcoin Up or Down - May 2, 10:45AM-10:50AM ET",Up,BUY,50,0.01,0xd49dc7dd14e46134d2952e2b880e25b7794ad47c09f71119f8a1fdd6608a1002,2026-05-02 17:50:20,0xb59445669888202826bd2a7009e279294b178ce36c5732f64c8bfa6f56cb2eb7,btc-updown-5m-1777733100
"Bitcoin Up or Down - May 2, 10:45AM-10:50AM ET",Up,BUY,133,0.01,0xd49dc7dd14e46134d2952e2b880e25b7794ad47c09f71119f8a1fdd6608a1002,2026-05-02 17:50:18,0x8e3568e8deaa1ffba0088934e82cd0a833f9e2fef24f9ac9eade63304ad8c45f,btc-updown-5m-1777733100
"Ethereum Up or Down - May 2, 6:45AM-6:50AM ET",Down,BUY,14,0.31,0x0bd8d3c5f42ce874f3bab3d25ca2ed344c3083cc907c5b2eafcfa72d798822ef,2026-05-02 13:50:12,0x03d5aefea16de99119810be2c811d42ebc971f6315adfe81836a7fa7ac2bf362,eth-updown-5m-1777718700
"Bitcoin Up or Down - May 2, 6:40AM-6:45AM ET",Up,BUY,26.46,0.28,0xd6f685f49f482c9af774fe73f7beb074410927cef437f6aeb451c9f8d8730daf,2026-05-02 13:45:24,0xf02a3e3642e89488d460ae2175c55876ed4c3cb52dba6adf18cf755578b6d6d7,btc-updown-5m-1777718400
"Bitcoin Up or Down - May 2, 6:00AM-6:15AM ET",Up,BUY,28,0.26,0x39c333527adab4554470b0130aa8885ee7b13c31fd2313823993c643874f92f0,2026-05-02 13:15:16,0x5afce587ea59a32472a0be9a6713d399314b96128f24e18ecf0cc7f5879370c9,btc-updown-15m-1777716000
"Bitcoin Up or Down - May 2, 6:00AM-6:15AM ET",Up,BUY,76,0.26,0x39c333527adab4554470b0130aa8885ee7b13c31fd2313823993c643874f92f0,2026-05-02 13:15:16,0x030fb2ffea20915fe1af61550e224124e42166d619807e328b3bffbf6a01257d,btc-updown-15m-1777716000
"Bitcoin Up or Down - May 2, 5:50AM-5:55AM ET",Down,BUY,28,0.33714285714285713,0xb2f3b806422caaf9867af5b327a0f2c6cbf2af818bda83b2b83f1cce60c25d49,2026-05-02 12:55:14,0x848f4eab15a6edcc99acbca4ea630bd846d8c9c61f428f5c0847847b55da6006,btc-updown-5m-1777715400
"Bitcoin Up or Down - May 2, 3:10AM-3:15AM ET",Down,BUY,28,0.23,0xa90c4c3d199a51b08495e1f933ad0913d489d40ed0642c1bbcde32b3c0418961,2026-05-02 10:15:00,0xa6b0d36efcc07588ee0225cb574597adbe15cf0e1f47f709412f03adbb3045a1,btc-updown-5m-1777705800
"Bitcoin Up or Down - May 2, 3:10AM-3:15AM ET",Down,BUY,76,0.2293421052631579,0xa90c4c3d199a51b08495e1f933ad0913d489d40ed0642c1bbcde32b3c0418961,2026-05-02 10:15:00,0xa87b49aa0eb478f480cebcfb84ec9b2b67905b4cac0ec0dd138ebebd622269f0,btc-updown-5m-1777705800
