Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Ethereum Up or Down - May 4, 7:00AM-7:05AM ET",Down,BUY,900,0.99,0x4e748d216f1ae45f9aa116191618931c4f80b1b85844e2fc5c7805d54fb5020a,2026-05-04 14:05:14,0x6cd50dccac40ab60980acc36c7105b1691dc4bde9b73fa30355992caa771a566,eth-updown-5m-1777892400
"Dogecoin Up or Down - May 3, 10:15PM-10:20PM ET",Down,BUY,182.9,0.9157998906506287,0xd0a39d1a10a29377e87750574201dd170f559fd7b3ad804c3f859ba586b84d52,2026-05-04 05:20:14,0x7771c63d8a5bc1c9463fd645ddcf34193745dd3ed1e3ce86c060188261c20101,doge-updown-5m-1777860900
"Bitcoin Up or Down - May 3, 5:30PM-5:35PM ET",Down,BUY,900,0.99,0xbde65e198495a55aae2a483fe0fda916661d6736b5a9e859f1d358e195b97b2d,2026-05-04 00:35:04,0xeaaa13ed7cef89ab054878fcce95b4ae966069ed79eec0a39b03e84b2a16617e,btc-updown-5m-1777843800
"BNB Up or Down - May 3, 5:25PM-5:30PM ET",Down,BUY,48.89,0.98,0xe303c6436c8fc2e3f55352a74bd655347d557213a3a7ad3630d1b3ef6164d56b,2026-05-04 00:30:04,0xcf339c2e6f5ffec55fe50791cbbd8647bb545139e93e09afda0d15ca6a844c24,bnb-updown-5m-1777843500
"BNB Up or Down - May 3, 4:10PM-4:15PM ET",Down,BUY,90,0.98,0xc91bbc229630ca79f53aa30a446f11230bdd01f854a6dc5d407f4981ffaa23b4,2026-05-03 23:15:14,0x8375aabfdaac6e7d1e784eafc64750930ce3367a46ea8a939a249ddf67f04eb3,bnb-updown-5m-1777839000
"Solana Up or Down - May 3, 4:00PM-4:05PM ET",Down,BUY,361.68,0.9833178500331785,0x95d0701f156b92c4ad24de89cb47027c22a60805f94c32f486e3921c6d43530b,2026-05-03 23:05:14,0x35a15d8c2ef4fe2954d12c34c1a8fbd0ac4630aba25a9473f68143cd5f4fc989,sol-updown-5m-1777838400
"Bitcoin Up or Down - May 3, 3:05PM-3:10PM ET",Down,BUY,177.02,0.99,0x06adad326ae2b824b3a1779af4e9657424a078c4de891d16ad32136274819709,2026-05-03 22:10:14,0xadf0cdbc5759933fad9b71e028dde599c4c7b3e39f14040b7c76d096cf32b0d4,btc-updown-5m-1777835100
"Bitcoin Up or Down - May 2, 3:20PM-3:25PM ET",Down,BUY,700,0.7269501428571429,0x25f7aa88283e16b5fbfe8d3c057adaa1454cde4be08556cca5b609f190080a47,2026-05-02 22:25:26,0x38cbdf9c4df685df7dbc50ddb986454ecd1a1d68edebffec0ba78e28cfee5b6a,btc-updown-5m-1777749600
"Bitcoin Up or Down - May 2, 7:50AM-7:55AM ET",Down,BUY,468.34,0.7622795405047615,0x35d11d475ad64a1d9527c435d6b593f517a7ab353c82a620fbcd40ced4f20366,2026-05-02 14:55:14,0x8eb10c8f5da3778feb8ee21023777a88b0b7c3fb44321ebef97103bc95867aca,btc-updown-5m-1777722600
"BNB Up or Down - May 2, 6:10AM-6:15AM ET",Down,BUY,295.89,0.9860194666937038,0xec85c17eea8f034651c1366160e8644b22474a7e5431b42b7857ef018c02a888,2026-05-02 13:15:26,0x728fae235eb8b39020ababd761662f7fe48b58b936fbedf85c066573a9000410,bnb-updown-5m-1777716600
"Ethereum Up or Down - May 2, 4:50AM-4:55AM ET",Down,BUY,17.63,0.99,0x32ff1e42e9dd35976104e7316f168a91c32a5d7203b19415742680b2319dda97,2026-05-02 11:55:14,0xd4c9c049c5007c11b4eac0a360f0f73c1517cbefcc3b7331c0edcbdee123dd93,eth-updown-5m-1777711800
"Bitcoin Up or Down - May 2, 3:15AM-3:20AM ET",Down,BUY,500,0.969235,0xed676b0d3d56abe67dd17d35c897c38617a0939ebb23e84f98115334a3107ce2,2026-05-02 10:20:04,0xecff7024ec0310d12d145b2caf747d7125415d32488195ebba4caa5362170ff8,btc-updown-5m-1777706100
"Bitcoin Up or Down - May 2, 1:40AM-1:45AM ET",Down,BUY,36.41,0.99,0xb4669f6d1880e8b0f3361f51af6b4ec106b925f546e8bf9d6dfd324c0a42abfd,2026-05-02 08:45:14,0x732c3fa6a4c37f84be4092355b04d17e552a40b3c9daa744951e2029255780df,btc-updown-5m-1777700400
