Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Bitcoin Up or Down - May 3, 4:00PM-4:15PM ET",Up,BUY,11,0.31,0x39bfad5dbabf9ec9338377e1be733b53f69d0a7f3e96f4569c26bcfe6e399bb4,2026-05-03 23:05:36,0xf12b0c0f25cc6eebfdc0f7c53e7e8007850dc7432ff520af96df1edd2a50dfba,btc-updown-15m-1777838400
"Ethereum Up or Down - May 3, 4:05PM-4:10PM ET",Up,BUY,10,0.45,0xf9e4f110c84d47b72f270d1d0a50928fd0cd748faf6b7ac9c6769149014c682c,2026-05-03 23:05:22,0x8123825be33fcb8441c115fd9aa8fe4a257b6884b73f206b9ad8fcd6727cb90b,eth-updown-5m-1777838700
"Bitcoin Up or Down - May 3, 4:05PM-4:10PM ET",Up,BUY,64,0.52,0xf3da3f5e62bc68d23b67752bd4e4b9472179c6db6e7cb2416ad6fa12b038e6b0,2026-05-03 23:05:22,0x31a068f4112ca74c8aff5a02c144dfe92940aa072839ba6312571b5177339342,btc-updown-5m-1777838700
"Bitcoin Up or Down - May 3, 4:00PM-4:15PM ET",Up,BUY,12,0.27,0x39bfad5dbabf9ec9338377e1be733b53f69d0a7f3e96f4569c26bcfe6e399bb4,2026-05-03 23:05:22,0xff8a62a1fc3fcb4fb5b2fa28bc8245a111e505c7553ab426106699d5f7a338e3,btc-updown-15m-1777838400
"Bitcoin Up or Down - May 3, 4:05PM-4:10PM ET",Up,BUY,80,0.49631875,0xf3da3f5e62bc68d23b67752bd4e4b9472179c6db6e7cb2416ad6fa12b038e6b0,2026-05-03 23:05:22,0x42855cc45edb5ce7365ae8139108abcba127e7e6ce2811dd2bc80d36bd260361,btc-updown-5m-1777838700
"Bitcoin Up or Down - May 3, 4PM ET",Up,BUY,5,0.33,0xda4ae058df833c289b18fab3f197229d050a697e058ce4fc60ff625ce8dfec65,2026-05-03 23:05:22,0xa27d665bdf0e423cea35a813baa014df5ff333642614546ee929e52c9a6ef1c4,bitcoin-up-or-down-may-3-2026-4pm-et
"Bitcoin Up or Down - May 3, 4:05PM-4:10PM ET",Up,BUY,20.25,0.48,0xf3da3f5e62bc68d23b67752bd4e4b9472179c6db6e7cb2416ad6fa12b038e6b0,2026-05-03 23:05:22,0x98171ed09040320b98b7a55eb9a77c9217d2dc0c89467cb98331eb7468896791,btc-updown-5m-1777838700
"Bitcoin Up or Down - May 3, 4:00PM-4:15PM ET",Down,BUY,15,0.74,0x39bfad5dbabf9ec9338377e1be733b53f69d0a7f3e96f4569c26bcfe6e399bb4,2026-05-03 23:05:22,0x7fea95212e76ea5b03615c9b98bee0a4a2876fe78cbd39dbed6ebb4766294dd1,btc-updown-15m-1777838400
"Bitcoin Up or Down - May 3, 4:05PM-4:10PM ET",Up,BUY,80,0.50557625,0xf3da3f5e62bc68d23b67752bd4e4b9472179c6db6e7cb2416ad6fa12b038e6b0,2026-05-03 23:05:22,0xf3b91b4e825151811568e8e318319b7c6d73f79fdc1647c442e809bd672756c1,btc-updown-5m-1777838700
"Bitcoin Up or Down - May 3, 4:05PM-4:10PM ET",Up,BUY,80,0.49875,0xf3da3f5e62bc68d23b67752bd4e4b9472179c6db6e7cb2416ad6fa12b038e6b0,2026-05-03 23:05:22,0x41b5e82e6ffe6d9f36a185bf293a41d68032e7855deb9916005f5959d04be2a5,btc-updown-5m-1777838700
"Bitcoin Up or Down - May 3, 4:00PM-4:15PM ET",Up,BUY,5,0.27,0x39bfad5dbabf9ec9338377e1be733b53f69d0a7f3e96f4569c26bcfe6e399bb4,2026-05-03 23:05:22,0xc774966f9a1f01f5efbc496bfb4f4c55f454a895b43bfe0c696dd9631826c578,btc-updown-15m-1777838400
"Ethereum Up or Down - May 3, 4:05PM-4:10PM ET",Down,BUY,11,0.56,0xf9e4f110c84d47b72f270d1d0a50928fd0cd748faf6b7ac9c6769149014c682c,2026-05-03 23:05:22,0xdf9db9a4df3e5cf0044e1de480753085129fd7ffb6dada85c237e7689e0179df,eth-updown-5m-1777838700
"Bitcoin Up or Down - May 3, 4:05PM-4:10PM ET",Down,BUY,86,0.54,0xf3da3f5e62bc68d23b67752bd4e4b9472179c6db6e7cb2416ad6fa12b038e6b0,2026-05-03 23:05:22,0x2fdb6846a84360d0f07b368181a767cb04b95926e1a24430fcdfcfd63792457c,btc-updown-5m-1777838700
